Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,132.92999267578125,133.6699981689453,132.17999267578125,132.32000732421875,114.22101593017578,2480300
2017-07-03,132.6199951171875,133.1699981689453,130.82000732421875,131.41000366210938,113.43548583984375,1252800
2017-07-05,131.27000427246094,132.50999450683594,131.0500030517578,132.25,114.16057586669922,1707700
2017-07-06,131.55999755859375,132.1300048828125,131.0,131.5399932861328,113.54766845703125,1249200
2017-07-07,132.0800018310547,133.8000030517578,131.3699951171875,133.13999938964844,114.92886352539062,1254200
2017-07-10,133.63999938964844,133.66000366210938,131.1999969482422,131.2100067138672,113.2628402709961,1272100
2017-07-11,131.17999267578125,131.82000732421875,130.91000366210938,130.92999267578125,113.0211410522461,1112600
2017-07-12,131.8000030517578,134.25,131.4600067138672,133.8800048828125,115.56761169433594,1135400
2017-07-13,133.8800048828125,134.49000549316406,133.55999755859375,134.13999938964844,115.79207611083984,955500
2017-07-14,134.92999267578125,136.3300018310547,134.8800048828125,136.0399932861328,117.43217468261719,1202400
2017-07-17,136.07000732421875,136.39999389648438,134.74000549316406,135.39999389648438,116.87970733642578,1458900
2017-07-18,135.32000732421875,138.0,135.07000732421875,136.17999267578125,117.55299377441406,2272400
2017-07-19,135.60000610351562,136.6699981689453,134.3300018310547,135.4199981689453,116.89696502685547,2758000
2017-07-20,135.67999267578125,137.4499969482422,135.6699981689453,136.24000549316406,117.60480499267578,2082100
2017-07-21,135.99000549316406,137.07000732421875,135.6199951171875,136.89999389648438,118.174560546875,1542700
2017-07-24,136.97000122070312,137.97999572753906,136.10000610351562,137.07000732421875,118.3212890625,1367500
2017-07-25,137.72000122070312,137.72999572753906,136.0399932861328,136.6199951171875,117.93282318115234,1205300
2017-07-26,136.32000732421875,137.99000549316406,136.27999877929688,137.8699951171875,119.01185607910156,1338000
2017-07-27,139.1199951171875,139.5,134.0,134.86000061035156,116.4135513305664,2933600
2017-07-28,135.1699981689453,138.7899932861328,134.80999755859375,138.33999633789062,119.41754913330078,1972600
2017-07-31,138.6699981689453,139.1300048828125,135.75,136.3300018310547,117.68248748779297,2386700
2017-08-01,136.22999572753906,136.4199981689453,135.50999450683594,135.97000122070312,117.37174224853516,2375000
2017-08-02,136.0800018310547,138.13999938964844,135.6300048828125,137.97000122070312,119.09815979003906,2409000
2017-08-03,138.05999755859375,138.17999267578125,136.83999633789062,137.14999389648438,118.39034271240234,1661900
2017-08-04,137.5,138.00999450683594,137.14999389648438,137.57000732421875,118.75289916992188,927900
2017-08-07,137.3800048828125,138.16000366210938,136.9499969482422,138.07000732421875,119.18450927734375,976600
2017-08-08,137.49000549316406,137.55999755859375,136.1699981689453,136.6300048828125,117.94149780273438,1333500
2017-08-09,136.3699951171875,138.38999938964844,136.3300018310547,137.85000610351562,118.99461364746094,1319300
2017-08-10,137.3000030517578,138.11000061035156,136.80999755859375,136.8300018310547,118.11412048339844,1032700
2017-08-11,137.19000244140625,137.77000427246094,136.2899932861328,136.67999267578125,117.98465728759766,870800
2017-08-14,137.39999389648438,140.02000427246094,137.39999389648438,139.97000122070312,120.82460021972656,1648500
2017-08-15,139.66000366210938,140.16000366210938,138.9199981689453,139.69000244140625,120.5829086303711,1386100
2017-08-16,140.0,141.1300048828125,139.67999267578125,141.08999633789062,121.79141235351562,1334600
2017-08-17,141.02999877929688,141.50999450683594,139.64999389648438,139.64999389648438,120.54839324951172,956300
2017-08-18,139.44000244140625,140.3800048828125,138.72000122070312,140.0,120.85050964355469,1114300
2017-08-21,140.19000244140625,141.4600067138672,140.1300048828125,141.27999877929688,121.95542907714844,1545900
2017-08-22,141.27999877929688,142.25999450683594,140.9499969482422,142.08999633789062,122.65463256835938,1030300
2017-08-23,141.99000549316406,143.11000061035156,141.7100067138672,142.83999633789062,123.30200958251953,921600
2017-08-24,143.0500030517578,144.25999450683594,142.50999450683594,143.8000030517578,124.13075256347656,1579000
2017-08-25,144.72000122070312,146.08999633789062,143.97999572753906,144.24000549316406,124.51053619384766,1254000
2017-08-28,144.2899932861328,146.1199951171875,144.2899932861328,145.77999877929688,125.83992767333984,1577300
2017-08-29,145.08999633789062,146.6300048828125,144.88999938964844,145.88999938964844,125.93485260009766,1178500
2017-08-30,145.64999389648438,147.63999938964844,145.32000732421875,147.52000427246094,127.34188842773438,1753000
2017-08-31,147.3800048828125,148.7100067138672,146.8800048828125,148.0500030517578,127.79945373535156,2293200
2017-09-01,148.3300018310547,148.3300018310547,145.22999572753906,145.77000427246094,125.83125305175781,1765800
2017-09-05,145.97000122070312,147.14999389648438,145.6699981689453,146.94000244140625,126.84126281738281,1559300
2017-09-06,147.0,147.30999755859375,146.07000732421875,146.07000732421875,126.09026336669922,1380700
2017-09-07,146.30999755859375,147.02999877929688,146.02000427246094,146.99000549316406,126.88438415527344,1757400
2017-09-08,146.8000030517578,146.8000030517578,144.44000244140625,144.99000549316406,125.15800476074219,2240600
2017-09-11,146.4199981689453,146.85000610351562,144.6199951171875,146.17999267578125,126.18517303466797,2202000
2017-09-12,146.13999938964844,146.2899932861328,143.85000610351562,144.8300018310547,125.01985168457031,2058700
2017-09-13,144.92999267578125,145.0399932861328,143.38999938964844,143.6999969482422,124.04439544677734,2087600
2017-09-14,142.82000732421875,143.10000610351562,141.41000366210938,142.85000610351562,123.3106689453125,2778900
2017-09-15,143.05999755859375,145.13999938964844,142.8699951171875,145.00999450683594,125.1752700805664,3210600
2017-09-18,145.02000427246094,146.22999572753906,144.52999877929688,144.77000427246094,124.96807861328125,1531000
2017-09-19,144.77999877929688,145.5800018310547,138.77999877929688,140.97999572753906,121.6964340209961,5507600
2017-09-20,141.16000366210938,141.6199951171875,139.47000122070312,140.39999389648438,121.19580078125,2876800
2017-09-21,140.52999877929688,140.8800048828125,139.39999389648438,139.39999389648438,120.33258819580078,1958400
2017-09-22,138.2100067138672,139.17999267578125,137.1699981689453,137.77999877929688,118.93417358398438,3140700
2017-09-25,137.80999755859375,138.3699951171875,137.07000732421875,137.38999938964844,118.5975112915039,1936200
2017-09-26,137.39999389648438,137.9499969482422,134.11000061035156,136.4199981689453,117.76019287109375,2752300
2017-09-27,136.02000427246094,136.38999938964844,134.50999450683594,134.74000549316406,116.30997467041016,2646600
2017-09-28,134.2899932861328,136.13999938964844,133.74000549316406,136.10000610351562,118.06226348876953,1988600
2017-09-29,135.72000122070312,137.17999267578125,135.61000061035156,136.67999267578125,118.56541442871094,1705800
