Date,Mkt-RF,SMB,HML,RF
2016-09-02,0.7,0.14,0.66,0.005
2016-09-09,-2.3,0.12,0.43,0.005
2016-09-16,0.57,0.54,-2.59,0.005
2016-09-23,1.26,1.16,-0.19,0.005
2016-09-30,0.21,-0.22,1.21,0.005
2016-10-07,-0.57,-0.51,1.31,0.004
2016-10-14,-1.12,-1.26,0.62,0.004
2016-10-21,0.42,-0.27,0.73,0.004
2016-10-28,-0.77,-2.38,1.34,0.004
2016-11-04,-1.89,-0.52,1.1,0.004
2016-11-11,4.67,6.13,2.64,0.004
2016-11-18,1.29,1.08,1.34,0.004
2016-11-25,1.64,0.83,0.54,0.004
2016-12-02,-1.13,-2.13,3.91,0.006
2016-12-09,3.35,2.02,1.88,0.006
2016-12-16,-0.29,-1.4,-0.82,0.006
2016-12-23,0.32,0.19,0.63,0.006
2016-12-30,-1.16,-0.09,0.11,0.006
2017-01-06,1.69,-0.69,-1.25,0.009
2017-01-13,0.09,0.4,-1.04,0.009
2017-01-20,-0.31,-1.15,-0.18,0.009
2017-01-27,1.16,0.21,0.63,0.009
2017-02-03,0.14,0.41,-0.65,0.009
2017-02-10,0.88,0.11,-1.23,0.009
2017-02-17,1.52,-0.54,-0.3,0.009
2017-02-24,0.48,-1.06,-0.54,0.009
2017-03-03,0.65,-0.93,-0.07,0.008
2017-03-10,-0.55,-1.16,-1.66,0.008
2017-03-17,0.48,1.82,-0.44,0.008
2017-03-24,-1.65,-0.9,-1.83,0.008
2017-03-31,1.05,1.64,0.86,0.008
2017-04-07,-0.44,-1.37,0.16,0.014
2017-04-13,-1.2,-0.2,-1.15,0.014
2017-04-21,1.11,1.85,-0.25,0.014
2017-04-28,1.64,0.33,-1.0,0.014
2017-05-05,0.53,-0.77,-0.48,0.016
2017-05-12,-0.32,-0.27,-1.32,0.016
2017-05-19,-0.4,-0.81,-0.46,0.016
2017-05-26,1.46,-0.31,-0.74,0.016
2017-06-02,1.09,1.14,-1.62,0.015
2017-06-09,-0.24,0.61,3.36,0.015
2017-06-16,-0.08,-1.05,-0.68,0.015
2017-06-23,0.31,1.06,-3.82,0.015
2017-06-30,-0.49,0.06,3.41,0.015
2017-07-07,0.08,-0.4,0.31,0.018
2017-07-14,1.36,-0.18,-1.3,0.018
2017-07-21,0.55,0.06,-0.46,0.018
2017-07-28,-0.03,-0.6,0.71,0.018
2017-08-04,0.09,-1.75,0.73,0.021
2017-08-11,-1.52,-1.0,-0.98,0.021
2017-08-18,-0.67,-0.71,-0.32,0.021
2017-08-25,0.82,0.55,0.69,0.021
2017-09-01,1.61,1.42,-1.47,0.024
2017-09-08,-0.77,0.19,-1.4,0.024
2017-09-15,1.7,0.66,1.8,0.024
2017-09-22,0.39,0.87,1.6,0.024
2017-09-29,0.91,2.2,0.7,0.024
2017-10-06,1.28,0.15,-0.21,0.021
2017-10-13,0.03,-0.7,-0.18,0.021
2017-10-20,0.91,-0.83,0.71,0.021
2017-10-27,0.25,-0.56,0.17,0.021
2017-11-03,0.19,-1.21,-0.44,0.021
2017-11-10,-0.41,-1.05,-1.0,0.021
2017-11-17,0.21,1.15,0.09,0.021
2017-11-24,1.04,1.11,-0.82,0.021
2017-12-01,1.62,-0.85,2.29,0.022
2017-12-08,0.3,-1.46,0.14,0.022
2017-12-15,0.81,-0.25,-0.77,0.022
2017-12-22,0.54,0.78,0.49,0.022
2017-12-29,-0.37,0.01,-0.22,0.022
2018-01-05,2.54,-0.69,-0.39,0.029
2018-01-12,1.81,0.39,1.07,0.029
2018-01-19,0.84,-0.64,-0.38,0.029
2018-01-26,2.05,-1.52,-1.14,0.029
2018-02-02,-3.81,-0.5,-0.11,0.029
2018-02-09,-5.09,1.05,0.09,0.029
2018-02-16,4.51,0.09,-0.54,0.029
2018-02-23,0.48,0.12,-0.59,0.029
2018-03-02,-1.74,1.02,-0.86,0.029
2018-03-09,3.6,0.36,-0.18,0.029
2018-03-16,-1.21,0.86,-0.13,0.029
2018-03-23,-5.82,1.69,-0.24,0.029
2018-03-29,1.8,-1.07,0.87,0.029
2018-04-06,-1.38,0.54,0.66,0.036
2018-04-13,2.05,1.0,-1.05,0.036
2018-04-20,0.73,0.04,0.49,0.036
2018-04-27,-0.29,-0.52,0.5,0.036
2018-05-04,-0.16,1.02,-1.35,0.035
2018-05-11,2.43,0.4,-0.27,0.035
2018-05-18,-0.22,2.48,-0.05,0.035
2018-05-25,0.22,-0.28,-0.41,0.035
2018-06-01,0.6,1.25,-1.24,0.034
2018-06-08,1.68,0.44,-0.14,0.034
2018-06-15,0.21,0.89,-2.26,0.034
2018-06-22,-0.85,1.37,0.23,0.034
2018-06-29,-1.6,-1.29,-0.05,0.034
